,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,0.66,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,0.0,0.66,,,,,,,,,,,,,,,,,,,,,
3,222.6304,1.0,0.0,0.66,,,,,,,,,,,,,,,,,,,,
4,72.5689,1.86,1.0,0.0,0.66,,,,,,,,,,,,,,,,,,,
5,38.3427,1.3,1.86,1.0,0.0,0.66,,,,,,,,,,,,,,,,,,
6,3.8564,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,,,,,,,,,,,,
7,5.1663,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,,,,,,,,,,,
8,16.2825,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,,,,,,,,,,
9,27.0548,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,,,,,,,,,
10,63.5028,-0.24,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,,,,,,,,
11,141.8453,0.72,-0.24,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,,,,,,,
12,40.4654,-0.93,0.72,-0.24,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,,,,,,
13,99.7112,-0.2,-0.93,0.72,-0.24,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,,,,,
14,209.4276,-0.47,-0.2,-0.93,0.72,-0.24,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,,,,
15,8.9746,-1.13,-0.47,-0.2,-0.93,0.72,-0.24,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,,,
16,57.5473,-1.22,-1.13,-0.47,-0.2,-0.93,0.72,-0.24,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,,
17,3.2733,-1.88,-1.22,-1.13,-0.47,-0.2,-0.93,0.72,-0.24,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,,
18,0.8287,-1.55,-1.88,-1.22,-1.13,-0.47,-0.2,-0.93,0.72,-0.24,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,,
19,5.0049,-0.19,-1.55,-1.88,-1.22,-1.13,-0.47,-0.2,-0.93,0.72,-0.24,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,,
20,3.7388,0.77,-0.19,-1.55,-1.88,-1.22,-1.13,-0.47,-0.2,-0.93,0.72,-0.24,-0.48,0.55,1.63,2.51,1.3,1.86,1.0,0.0,0.66,,,
