,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,0.249,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,-0.068,0.249,,,,,,,,,,,,,,,,,,,,,
3,222.6304,0.204,-0.068,0.249,,,,,,,,,,,,,,,,,,,,
4,72.5689,-0.371,0.204,-0.068,0.249,,,,,,,,,,,,,,,,,,,
5,38.3427,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,,,,,,,,,,,,
6,3.8564,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,,,,,,,,,,,
7,5.1663,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,,,,,,,,,,
8,16.2825,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,,,,,,,,,
9,27.0548,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,,,,,,,,
10,63.5028,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,,,,,,,
11,141.8453,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,,,,,,
12,40.4654,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,,,,,
13,99.7112,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,,,,
14,209.4276,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,,,
15,8.9746,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,,
16,57.5473,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,,
17,3.2733,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,,
18,0.8287,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,,
19,5.0049,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,,
20,3.7388,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,,
21,6.1449,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,,
22,63.985,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249,
23,54.7504,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068,0.249
24,234.9162,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204,-0.068
25,125.7046,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371,0.204
26,116.1445,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585,-0.371
27,58.7856,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363,-0.585
28,36.2573,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379,-0.363
29,17.4126,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36,-0.379
30,0.5856,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003,-0.36
31,2.4364,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174,-0.40700000000000003
32,17.6535,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187,0.174
33,153.6081,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171,0.187
34,196.1526,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105,-0.171
35,201.9834,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078,-0.105
36,170.0752,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627,-0.078
37,111.5515,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999,-0.627
38,49.3925,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518,-0.013999999999999999
39,49.3122,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58,-0.518
40,56.8626,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126,-0.58
41,1.7826,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612,0.126
42,0.0207,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495,0.612
43,5.0254,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999,0.495
44,2.0262,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597,0.20199999999999999
45,91.9665,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363,-0.597
46,153.10299999999998,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001,-0.363
47,279.7197,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999,-0.5710000000000001
48,279.7602,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62,-1.1059999999999999
49,135.3461,-0.373,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23,-0.62
50,147.097,0.258,-0.373,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997,-0.23
51,35.5575,0.778,0.258,-0.373,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997,-0.27899999999999997
52,29.6653,0.3,0.778,0.258,-0.373,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873,-0.21899999999999997
53,40.971000000000004,0.784,0.3,0.778,0.258,-0.373,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631,-0.873
54,12.0392,1.679,0.784,0.3,0.778,0.258,-0.373,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637,-0.631
55,0.7515,1.5919999999999999,1.679,0.784,0.3,0.778,0.258,-0.373,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35,-0.637
56,12.835,1.618,1.5919999999999999,1.679,0.784,0.3,0.778,0.258,-0.373,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998,-0.35
57,6.9763,1.3659999999999999,1.618,1.5919999999999999,1.679,0.784,0.3,0.778,0.258,-0.373,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451,-0.16699999999999998
58,70.4533,1.126,1.3659999999999999,1.618,1.5919999999999999,1.679,0.784,0.3,0.778,0.258,-0.373,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306,0.451
59,310.8277,0.9990000000000001,1.126,1.3659999999999999,1.618,1.5919999999999999,1.679,0.784,0.3,0.778,0.258,-0.373,0.05,-0.009000000000000001,0.231,0.14800000000000002,0.826,1.9180000000000001,1.146,0.775,1.1840000000000002,0.298,-0.43799999999999994,0.306
