,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,-92.0,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,-80.0,-92.0,,,,,,,,,,,,,,,,,,,,,
3,222.6304,99.0,-80.0,-92.0,,,,,,,,,,,,,,,,,,,,
4,72.5689,-46.0,99.0,-80.0,-92.0,,,,,,,,,,,,,,,,,,,
5,38.3427,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,,,,,,,,,,,,
6,3.8564,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,,,,,,,,,,,
7,5.1663,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,,,,,,,,,,
8,16.2825,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,,,,,,,,,
9,27.0548,37.0,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,,,,,,,,
10,63.5028,18.0,37.0,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,,,,,,,
11,141.8453,-65.0,18.0,37.0,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,,,,,,
12,40.4654,-87.0,-65.0,18.0,37.0,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,,,,,
13,99.7112,-103.0,-87.0,-65.0,18.0,37.0,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,,,,
14,209.4276,-29.0,-103.0,-87.0,-65.0,18.0,37.0,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,,,
15,8.9746,53.0,-29.0,-103.0,-87.0,-65.0,18.0,37.0,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,,
16,57.5473,5.0,53.0,-29.0,-103.0,-87.0,-65.0,18.0,37.0,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,,
17,3.2733,181.0,5.0,53.0,-29.0,-103.0,-87.0,-65.0,18.0,37.0,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,,
18,0.8287,45.0,181.0,5.0,53.0,-29.0,-103.0,-87.0,-65.0,18.0,37.0,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,,
19,5.0049,-79.0,45.0,181.0,5.0,53.0,-29.0,-103.0,-87.0,-65.0,18.0,37.0,-11.0,-36.0,48.0,-9.0,-46.0,99.0,-80.0,-92.0,,,,
