,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,0.26,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,0.43,0.26,,,,,,,,,,,,,,,,,,,,,
3,222.6304,0.72,0.43,0.26,,,,,,,,,,,,,,,,,,,,
4,72.5689,0.21,0.72,0.43,0.26,,,,,,,,,,,,,,,,,,,
5,38.3427,0.24,0.21,0.72,0.43,0.26,,,,,,,,,,,,,,,,,,
6,3.8564,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,,,,,,,,,,,,
7,5.1663,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,,,,,,,,,,,
8,16.2825,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,,,,,,,,,,
9,27.0548,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,,,,,,,,,
10,63.5028,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,,,,,,,,
11,141.8453,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,,,,,,,
12,40.4654,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,,,,,,
13,99.7112,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,,,,,
14,209.4276,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,,,,
15,8.9746,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,,,
16,57.5473,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,,
17,3.2733,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,,
18,0.8287,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,,
19,5.0049,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,,
20,3.7388,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,,
21,6.1449,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,,
22,63.985,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26,
23,54.7504,-0.29,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43,0.26
24,234.9162,-0.91,-0.29,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72,0.43
25,125.7046,-0.74,-0.91,-0.29,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21,0.72
26,116.1445,-1.7,-0.74,-0.91,-0.29,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24,0.21
27,58.7856,-1.43,-1.7,-0.74,-0.91,-0.29,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41,0.24
28,36.2573,-1.29,-1.43,-1.7,-0.74,-0.91,-0.29,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08,0.41
29,17.4126,-1.22,-1.29,-1.43,-1.7,-0.74,-0.91,-0.29,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25,0.08
30,0.5856,-1.69,-1.22,-1.29,-1.43,-1.7,-0.74,-0.91,-0.29,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45,0.25
31,2.4364,-1.69,-1.69,-1.22,-1.29,-1.43,-1.7,-0.74,-0.91,-0.29,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64,0.45
32,17.6535,-0.96,-1.69,-1.69,-1.22,-1.29,-1.43,-1.7,-0.74,-0.91,-0.29,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21,-0.64
33,153.6081,-0.95,-0.96,-1.69,-1.69,-1.22,-1.29,-1.43,-1.7,-0.74,-0.91,-0.29,-0.59,-0.42,0.08,-0.06,0.0,0.43,0.15,-0.55,0.13,0.18,0.58,-0.21
