,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,,,,,,,,,,,,,,,,,,,,,,,
3,222.6304,,,,,,,,,,,,,,,,,,,,,,,
4,72.5689,,,,,,,,,,,,,,,,,,,,,,,
5,38.3427,,,,,,,,,,,,,,,,,,,,,,,
6,3.8564,,,,,,,,,,,,,,,,,,,,,,,
7,5.1663,,,,,,,,,,,,,,,,,,,,,,,
8,16.2825,,,,,,,,,,,,,,,,,,,,,,,
9,27.0548,,,,,,,,,,,,,,,,,,,,,,,
10,63.5028,,,,,,,,,,,,,,,,,,,,,,,
11,141.8453,,,,,,,,,,,,,,,,,,,,,,,
12,40.4654,,,,,,,,,,,,,,,,,,,,,,,
13,99.7112,,,,,,,,,,,,,,,,,,,,,,,
14,209.4276,,,,,,,,,,,,,,,,,,,,,,,
15,8.9746,,,,,,,,,,,,,,,,,,,,,,,
16,57.5473,,,,,,,,,,,,,,,,,,,,,,,
17,3.2733,,,,,,,,,,,,,,,,,,,,,,,
18,0.8287,,,,,,,,,,,,,,,,,,,,,,,
19,5.0049,,,,,,,,,,,,,,,,,,,,,,,
20,3.7388,,,,,,,,,,,,,,,,,,,,,,,
21,6.1449,,,,,,,,,,,,,,,,,,,,,,,
22,63.985,,,,,,,,,,,,,,,,,,,,,,,
23,54.7504,,,,,,,,,,,,,,,,,,,,,,,
24,234.9162,,,,,,,,,,,,,,,,,,,,,,,
25,125.7046,2.29,,,,,,,,,,,,,,,,,,,,,,
26,116.1445,-0.57,2.29,,,,,,,,,,,,,,,,,,,,,
27,58.7856,-1.8,-0.57,2.29,,,,,,,,,,,,,,,,,,,,
28,36.2573,-2.5,-1.8,-0.57,2.29,,,,,,,,,,,,,,,,,,,
29,17.4126,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,,,,,,,,,,,,
30,0.5856,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,,,,,,,,,,,
31,2.4364,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,,,,,,,,,,
32,17.6535,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,,,,,,,,,
33,153.6081,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,,,,,,,,
34,196.1526,0.04,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,,,,,,,
35,201.9834,-1.72,0.04,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,,,,,,
36,170.0752,-2.31,-1.72,0.04,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,,,,,
37,111.5515,-0.74,-2.31,-1.72,0.04,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,,,,
38,49.3925,-1.66,-0.74,-2.31,-1.72,0.04,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,,,
39,49.3122,0.11,-1.66,-0.74,-2.31,-1.72,0.04,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,,
40,56.8626,-2.31,0.11,-1.66,-0.74,-2.31,-1.72,0.04,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,,
41,1.7826,0.93,-2.31,0.11,-1.66,-0.74,-2.31,-1.72,0.04,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,,
42,0.0207,1.91,0.93,-2.31,0.11,-1.66,-0.74,-2.31,-1.72,0.04,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,,
43,5.0254,-0.86,1.91,0.93,-2.31,0.11,-1.66,-0.74,-2.31,-1.72,0.04,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,,
44,2.0262,-3.26,-0.86,1.91,0.93,-2.31,0.11,-1.66,-0.74,-2.31,-1.72,0.04,-0.32,0.52,3.01,1.27,1.41,-2.5,-1.8,-0.57,2.29,,,
