,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,-0.287,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,-0.083,-0.287,,,,,,,,,,,,,,,,,,,,,
3,222.6304,0.366,-0.083,-0.287,,,,,,,,,,,,,,,,,,,,
4,72.5689,0.016,0.366,-0.083,-0.287,,,,,,,,,,,,,,,,,,,
5,38.3427,0.073,0.016,0.366,-0.083,-0.287,,,,,,,,,,,,,,,,,,
6,3.8564,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,,,,,,,,,,,,
7,5.1663,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,,,,,,,,,,,
8,16.2825,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,,,,,,,,,,
9,27.0548,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,,,,,,,,,
10,63.5028,-0.982,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,,,,,,,,
11,141.8453,-0.175,-0.982,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,,,,,,,
12,40.4654,-0.19699999999999998,-0.175,-0.982,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,,,,,,
13,99.7112,-0.6459999999999999,-0.19699999999999998,-0.175,-0.982,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,,,,,
14,209.4276,0.023,-0.6459999999999999,-0.19699999999999998,-0.175,-0.982,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,,,,
15,8.9746,-1.024,0.023,-0.6459999999999999,-0.19699999999999998,-0.175,-0.982,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,,,
16,57.5473,-0.139,-1.024,0.023,-0.6459999999999999,-0.19699999999999998,-0.175,-0.982,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,,
17,3.2733,-0.308,-0.139,-1.024,0.023,-0.6459999999999999,-0.19699999999999998,-0.175,-0.982,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,,
18,0.8287,-0.8270000000000001,-0.308,-0.139,-1.024,0.023,-0.6459999999999999,-0.19699999999999998,-0.175,-0.982,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,,
19,5.0049,-0.9309999999999999,-0.8270000000000001,-0.308,-0.139,-1.024,0.023,-0.6459999999999999,-0.19699999999999998,-0.175,-0.982,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,,
20,3.7388,-0.49700000000000005,-0.9309999999999999,-0.8270000000000001,-0.308,-0.139,-1.024,0.023,-0.6459999999999999,-0.19699999999999998,-0.175,-0.982,-0.537,-0.165,-0.551,-0.048,0.073,0.016,0.366,-0.083,-0.287,,,
