,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,0.0,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
3,222.6304,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
4,72.5689,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
5,38.3427,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
6,3.8564,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
7,5.1663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
8,16.2825,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
9,27.0548,10.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
10,63.5028,4.5,10.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
11,141.8453,0.75,4.5,10.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
12,40.4654,0.0,0.75,4.5,10.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
13,99.7112,0.0,0.0,0.75,4.5,10.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
14,209.4276,0.0,0.0,0.0,0.75,4.5,10.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
15,8.9746,0.0,0.0,0.0,0.0,0.75,4.5,10.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
16,57.5473,0.0,0.0,0.0,0.0,0.0,0.75,4.5,10.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
17,3.2733,0.0,0.0,0.0,0.0,0.0,0.0,0.75,4.5,10.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
