,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,318.0,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,58.0,318.0,,,,,,,,,,,,,,,,,,,,,
3,222.6304,37.0,58.0,318.0,,,,,,,,,,,,,,,,,,,,
4,72.5689,22.0,37.0,58.0,318.0,,,,,,,,,,,,,,,,,,,
5,38.3427,17.0,22.0,37.0,58.0,318.0,,,,,,,,,,,,,,,,,,
6,3.8564,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,,,,,,,,,,,,
7,5.1663,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,,,,,,,,,,,
8,16.2825,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,,,,,,,,,,
9,27.0548,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,,,,,,,,,
10,63.5028,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,,,,,,,,
11,141.8453,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,,,,,,,
12,40.4654,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,,,,,,
13,99.7112,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,,,,,
14,209.4276,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,,,,
15,8.9746,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,,,
16,57.5473,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,,
17,3.2733,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,,
18,0.8287,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,,
19,5.0049,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,,
20,3.7388,1696.0,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,,
21,6.1449,3067.0,1696.0,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,,
22,63.985,595.0,3067.0,1696.0,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0,
23,54.7504,20.0,595.0,3067.0,1696.0,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0,318.0
24,234.9162,0.0,20.0,595.0,3067.0,1696.0,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0,58.0
25,125.7046,17.0,0.0,20.0,595.0,3067.0,1696.0,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0,37.0
26,116.1445,50.0,17.0,0.0,20.0,595.0,3067.0,1696.0,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0,22.0
27,58.7856,85.0,50.0,17.0,0.0,20.0,595.0,3067.0,1696.0,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0,17.0
28,36.2573,15.0,85.0,50.0,17.0,0.0,20.0,595.0,3067.0,1696.0,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0,1395.0
29,17.4126,85.0,15.0,85.0,50.0,17.0,0.0,20.0,595.0,3067.0,1696.0,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0,3210.0
30,0.5856,584.0,85.0,15.0,85.0,50.0,17.0,0.0,20.0,595.0,3067.0,1696.0,3198.0,1094.0,295.0,16.0,5.0,18.0,10.0,5.0,840.0,280.0,1721.0,2603.0
