,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,1.53,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,0.66,1.53,,,,,,,,,,,,,,,,,,,,,
3,222.6304,3.48,0.66,1.53,,,,,,,,,,,,,,,,,,,,
4,72.5689,-0.48,3.48,0.66,1.53,,,,,,,,,,,,,,,,,,,
5,38.3427,-1.23,-0.48,3.48,0.66,1.53,,,,,,,,,,,,,,,,,,
6,3.8564,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,,,,,,,,,,,,
7,5.1663,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,,,,,,,,,,,
8,16.2825,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,,,,,,,,,,
9,27.0548,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,,,,,,,,,
10,63.5028,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,,,,,,,,
11,141.8453,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,,,,,,,
12,40.4654,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,,,,,,
13,99.7112,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,,,,,
14,209.4276,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,,,,
15,8.9746,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,,,
16,57.5473,3.41,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,,
17,3.2733,-1.39,3.41,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,,
18,0.8287,-1.51,-1.39,3.41,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,,
19,5.0049,-0.93,-1.51,-1.39,3.41,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,,
20,3.7388,1.38,-0.93,-1.51,-1.39,3.41,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,,
21,6.1449,-1.81,1.38,-0.93,-1.51,-1.39,3.41,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,,
22,63.985,1.38,-1.81,1.38,-0.93,-1.51,-1.39,3.41,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53,
23,54.7504,0.54,1.38,-1.81,1.38,-0.93,-1.51,-1.39,3.41,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66,1.53
24,234.9162,0.11,0.54,1.38,-1.81,1.38,-0.93,-1.51,-1.39,3.41,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48,0.66
25,125.7046,0.55,0.11,0.54,1.38,-1.81,1.38,-0.93,-1.51,-1.39,3.41,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48,3.48
26,116.1445,3.31,0.55,0.11,0.54,1.38,-1.81,1.38,-0.93,-1.51,-1.39,3.41,-0.96,4.01,1.5,1.09,2.64,0.43,0.82,0.34,0.59,-0.27,-1.23,-0.48
