,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,0.971,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,4.704,0.971,,,,,,,,,,,,,,,,,,,,,
3,222.6304,-0.8959999999999999,4.704,0.971,,,,,,,,,,,,,,,,,,,,
4,72.5689,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,,,,,,,,,,,,
5,38.3427,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,,,,,,,,,,,
6,3.8564,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,,,,,,,,,,
7,5.1663,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,,,,,,,,,
8,16.2825,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,,,,,,,,
9,27.0548,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,,,,,,,
10,63.5028,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,,,,,,
11,141.8453,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,,,,,
12,40.4654,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,,,,
13,99.7112,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,,,
14,209.4276,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,,
15,8.9746,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,,
16,57.5473,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,,
17,3.2733,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,,
18,0.8287,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,,
19,5.0049,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,,
20,3.7388,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,,
21,6.1449,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,,
22,63.985,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971,
23,54.7504,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704,0.971
24,234.9162,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999,4.704
25,125.7046,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557,-0.8959999999999999
26,116.1445,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479,-3.557
27,58.7856,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252,-1.479
28,36.2573,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001,-2.252
29,17.4126,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96,-1.2770000000000001
30,0.5856,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369,0.96
31,2.4364,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315,0.369
32,17.6535,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021,-0.315
33,153.6081,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2,5.021
34,196.1526,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43,2.2
35,201.9834,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001,5.43
36,170.0752,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439,4.361000000000001
37,111.5515,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154,-1.439
38,49.3925,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666,-0.154
39,49.3122,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579,-1.666
40,56.8626,-3.88,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048,-1.579
41,1.7826,-2.213,-3.88,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001,-0.048
42,0.0207,-0.903,-2.213,-3.88,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233,0.7070000000000001
43,5.0254,-0.336,-0.903,-2.213,-3.88,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522,-0.233
44,2.0262,-0.872,-0.336,-0.903,-2.213,-3.88,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836,3.522
45,91.9665,-1.36,-0.872,-0.336,-0.903,-2.213,-3.88,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995,-0.836
46,153.10299999999998,0.21,-1.36,-0.872,-0.336,-0.903,-2.213,-3.88,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997,4.2139999999999995
47,279.7197,-1.165,0.21,-1.36,-0.872,-0.336,-0.903,-2.213,-3.88,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077,2.6439999999999997
48,279.7602,-0.46399999999999997,-1.165,0.21,-1.36,-0.872,-0.336,-0.903,-2.213,-3.88,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091,2.077
49,135.3461,-1.444,-0.46399999999999997,-1.165,0.21,-1.36,-0.872,-0.336,-0.903,-2.213,-3.88,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923,3.091
50,147.097,2.156,-1.444,-0.46399999999999997,-1.165,0.21,-1.36,-0.872,-0.336,-0.903,-2.213,-3.88,3.103,1.8780000000000001,2.702,-1.545,0.483,-2.54,0.17,-0.23600000000000002,-0.336,1.014,2.211,1.923
