,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,1009.12,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,1014.0,1009.12,,,,,,,,,,,,,,,,,,,,,
3,222.6304,1016.66,1014.0,1009.12,,,,,,,,,,,,,,,,,,,,
4,72.5689,1020.68,1016.66,1014.0,1009.12,,,,,,,,,,,,,,,,,,,
5,38.3427,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,,,,,,,,,,,,
6,3.8564,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,,,,,,,,,,,
7,5.1663,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,,,,,,,,,,
8,16.2825,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,,,,,,,,,
9,27.0548,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,,,,,,,,
10,63.5028,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,,,,,,,
11,141.8453,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,,,,,,
12,40.4654,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,,,,,
13,99.7112,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,,,,
14,209.4276,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,,,
15,8.9746,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,,
16,57.5473,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,,
17,3.2733,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,,
18,0.8287,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,,
19,5.0049,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,,
20,3.7388,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,,
21,6.1449,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,,
22,63.985,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12,
23,54.7504,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0,1009.12
24,234.9162,1010.48,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66,1014.0
25,125.7046,1014.87,1010.48,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68,1016.66
26,116.1445,1010.4,1014.87,1010.48,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02,1020.68
27,58.7856,1008.13,1010.4,1014.87,1010.48,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45,1016.02
28,36.2573,1015.49,1008.13,1010.4,1014.87,1010.48,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24,1015.45
29,17.4126,1015.47,1015.49,1008.13,1010.4,1014.87,1010.48,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84,1017.24
30,0.5856,1015.51,1015.47,1015.49,1008.13,1010.4,1014.87,1010.48,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48,1017.84
31,2.4364,1016.23,1015.51,1015.47,1015.49,1008.13,1010.4,1014.87,1010.48,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82,1015.48
32,17.6535,1012.76,1016.23,1015.51,1015.47,1015.49,1008.13,1010.4,1014.87,1010.48,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59,1010.82
33,153.6081,1012.62,1012.76,1016.23,1015.51,1015.47,1015.49,1008.13,1010.4,1014.87,1010.48,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17,1010.59
34,196.1526,1010.76,1012.62,1012.76,1016.23,1015.51,1015.47,1015.49,1008.13,1010.4,1014.87,1010.48,1008.08,1012.41,1013.08,1017.02,1018.76,1016.56,1015.5,1013.55,1006.94,1010.89,1012.0,1014.17
