,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,-0.11,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,-0.74,-0.11,,,,,,,,,,,,,,,,,,,,,
3,222.6304,-0.03,-0.74,-0.11,,,,,,,,,,,,,,,,,,,,
4,72.5689,-1.33,-0.03,-0.74,-0.11,,,,,,,,,,,,,,,,,,,
5,38.3427,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,,,,,,,,,,,,
6,3.8564,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,,,,,,,,,,,
7,5.1663,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,,,,,,,,,,
8,16.2825,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,,,,,,,,,
9,27.0548,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,,,,,,,,
10,63.5028,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,,,,,,,
11,141.8453,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,,,,,,
12,40.4654,-1.7,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,,,,,
13,99.7112,-2.01,-1.7,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,,,,
14,209.4276,-3.6,-2.01,-1.7,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,,,
15,8.9746,-1.0,-3.6,-2.01,-1.7,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,,
16,57.5473,-0.53,-1.0,-3.6,-2.01,-1.7,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,,
17,3.2733,-1.07,-0.53,-1.0,-3.6,-2.01,-1.7,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,,
18,0.8287,-0.7,-1.07,-0.53,-1.0,-3.6,-2.01,-1.7,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,,
19,5.0049,-0.56,-0.7,-1.07,-0.53,-1.0,-3.6,-2.01,-1.7,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,,
20,3.7388,-1.3,-0.56,-0.7,-1.07,-0.53,-1.0,-3.6,-2.01,-1.7,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,,
21,6.1449,-0.93,-1.3,-0.56,-0.7,-1.07,-0.53,-1.0,-3.6,-2.01,-1.7,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,,
22,63.985,-1.41,-0.93,-1.3,-0.56,-0.7,-1.07,-0.53,-1.0,-3.6,-2.01,-1.7,-0.89,-1.32,-1.74,-1.56,-0.92,0.08,-0.23,-1.33,-0.03,-0.74,-0.11,
