,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,108.1699,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,52.6629,108.1699,,,,,,,,,,,,,,,,,,,,,
3,222.6304,150.4337,52.6629,108.1699,,,,,,,,,,,,,,,,,,,,
4,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,,,,,,,,,,,,
5,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,,,,,,,,,,,
6,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,,,,,,,,,,
7,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,,,,,,,,,
8,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,,,,,,,,
9,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,,,,,,,
10,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,,,,,,
11,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,,,,,
12,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,,,,
13,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,,,
14,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,,
15,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,,
16,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,,
17,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,,
18,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,,
19,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,,
20,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,,
21,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,,
22,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699,
23,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629,108.1699
24,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337,52.6629
25,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304,150.4337
26,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689,222.6304
27,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427,72.5689
28,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564,38.3427
29,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663,3.8564
30,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825,5.1663
31,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548,16.2825
32,17.6535,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028,27.0548
33,153.6081,17.6535,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453,63.5028
34,196.1526,153.6081,17.6535,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654,141.8453
35,201.9834,196.1526,153.6081,17.6535,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112,40.4654
36,170.0752,201.9834,196.1526,153.6081,17.6535,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276,99.7112
37,111.5515,170.0752,201.9834,196.1526,153.6081,17.6535,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746,209.4276
38,49.3925,111.5515,170.0752,201.9834,196.1526,153.6081,17.6535,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473,8.9746
39,49.3122,49.3925,111.5515,170.0752,201.9834,196.1526,153.6081,17.6535,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733,57.5473
40,56.8626,49.3122,49.3925,111.5515,170.0752,201.9834,196.1526,153.6081,17.6535,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287,3.2733
41,1.7826,56.8626,49.3122,49.3925,111.5515,170.0752,201.9834,196.1526,153.6081,17.6535,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049,0.8287
42,0.0207,1.7826,56.8626,49.3122,49.3925,111.5515,170.0752,201.9834,196.1526,153.6081,17.6535,2.4364,0.5856,17.4126,36.2573,58.7856,116.1445,125.7046,234.9162,54.7504,63.985,6.1449,3.7388,5.0049
