,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,-4.44,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,-5.78,-4.44,,,,,,,,,,,,,,,,,,,,,
3,222.6304,-7.31,-5.78,-4.44,,,,,,,,,,,,,,,,,,,,
4,72.5689,-6.7,-7.31,-5.78,-4.44,,,,,,,,,,,,,,,,,,,
5,38.3427,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,,,,,,,,,,,,
6,3.8564,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,,,,,,,,,,,
7,5.1663,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,,,,,,,,,,
8,16.2825,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,,,,,,,,,
9,27.0548,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,,,,,,,,
10,63.5028,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,,,,,,,
11,141.8453,-6.28,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,,,,,,
12,40.4654,-8.18,-6.28,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,,,,,
13,99.7112,-9.77,-8.18,-6.28,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,,,,
14,209.4276,-11.8,-9.77,-8.18,-6.28,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,,,
15,8.9746,-11.72,-11.8,-9.77,-8.18,-6.28,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,,
16,57.5473,-10.69,-11.72,-11.8,-9.77,-8.18,-6.28,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,,
17,3.2733,-9.34,-10.69,-11.72,-11.8,-9.77,-8.18,-6.28,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,,
18,0.8287,-9.43,-9.34,-10.69,-11.72,-11.8,-9.77,-8.18,-6.28,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,,
19,5.0049,-9.07,-9.43,-9.34,-10.69,-11.72,-11.8,-9.77,-8.18,-6.28,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,,
20,3.7388,-9.08,-9.07,-9.43,-9.34,-10.69,-11.72,-11.8,-9.77,-8.18,-6.28,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,,
21,6.1449,-8.32,-9.08,-9.07,-9.43,-9.34,-10.69,-11.72,-11.8,-9.77,-8.18,-6.28,-6.07,-7.24,-7.22,-5.51,-4.73,-5.57,-6.7,-7.31,-5.78,-4.44,,
