,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,-5.0,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,7.0,-5.0,,,,,,,,,,,,,,,,,,,,,
3,222.6304,-6.0,7.0,-5.0,,,,,,,,,,,,,,,,,,,,
4,72.5689,161.0,-6.0,7.0,-5.0,,,,,,,,,,,,,,,,,,,
5,38.3427,9.0,161.0,-6.0,7.0,-5.0,,,,,,,,,,,,,,,,,,
6,3.8564,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,,,,,,,,,,,,
7,5.1663,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,,,,,,,,,,,
8,16.2825,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,,,,,,,,,,
9,27.0548,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,,,,,,,,,
10,63.5028,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,,,,,,,,
11,141.8453,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,,,,,,,
12,40.4654,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,,,,,,
13,99.7112,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,,,,,
14,209.4276,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,,,,
15,8.9746,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,,,
16,57.5473,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,,
17,3.2733,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,,
18,0.8287,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,,
19,5.0049,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,,
20,3.7388,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,,
21,6.1449,-213.0,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,,
22,63.985,-75.0,-213.0,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0,
23,54.7504,24.0,-75.0,-213.0,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0,-5.0
24,234.9162,48.0,24.0,-75.0,-213.0,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0,7.0
25,125.7046,4.0,48.0,24.0,-75.0,-213.0,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0,-6.0
26,116.1445,3.0,4.0,48.0,24.0,-75.0,-213.0,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0,161.0
27,58.7856,-19.0,3.0,4.0,48.0,24.0,-75.0,-213.0,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0,9.0
28,36.2573,-33.0,-19.0,3.0,4.0,48.0,24.0,-75.0,-213.0,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0,284.0
29,17.4126,-18.0,-33.0,-19.0,3.0,4.0,48.0,24.0,-75.0,-213.0,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0,69.0
30,0.5856,-46.0,-18.0,-33.0,-19.0,3.0,4.0,48.0,24.0,-75.0,-213.0,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0,277.0
31,2.4364,276.0,-46.0,-18.0,-33.0,-19.0,3.0,4.0,48.0,24.0,-75.0,-213.0,263.0,51.0,-46.0,-48.0,14.0,15.0,-7.0,1.0,-4.0,-10.0,-50.0,-105.0
