,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,,,,,,,,,,,,,,,,,,,,,,,
3,222.6304,,,,,,,,,,,,,,,,,,,,,,,
4,72.5689,,,,,,,,,,,,,,,,,,,,,,,
5,38.3427,,,,,,,,,,,,,,,,,,,,,,,
6,3.8564,,,,,,,,,,,,,,,,,,,,,,,
7,5.1663,,,,,,,,,,,,,,,,,,,,,,,
8,16.2825,,,,,,,,,,,,,,,,,,,,,,,
9,27.0548,,,,,,,,,,,,,,,,,,,,,,,
10,63.5028,,,,,,,,,,,,,,,,,,,,,,,
11,141.8453,,,,,,,,,,,,,,,,,,,,,,,
12,40.4654,,,,,,,,,,,,,,,,,,,,,,,
13,99.7112,,,,,,,,,,,,,,,,,,,,,,,
14,209.4276,,,,,,,,,,,,,,,,,,,,,,,
15,8.9746,,,,,,,,,,,,,,,,,,,,,,,
16,57.5473,,,,,,,,,,,,,,,,,,,,,,,
17,3.2733,,,,,,,,,,,,,,,,,,,,,,,
18,0.8287,,,,,,,,,,,,,,,,,,,,,,,
19,5.0049,,,,,,,,,,,,,,,,,,,,,,,
20,3.7388,,,,,,,,,,,,,,,,,,,,,,,
21,6.1449,,,,,,,,,,,,,,,,,,,,,,,
22,63.985,,,,,,,,,,,,,,,,,,,,,,,
23,54.7504,,,,,,,,,,,,,,,,,,,,,,,
24,234.9162,,,,,,,,,,,,,,,,,,,,,,,
25,125.7046,,,,,,,,,,,,,,,,,,,,,,,
26,116.1445,,,,,,,,,,,,,,,,,,,,,,,
27,58.7856,,,,,,,,,,,,,,,,,,,,,,,
28,36.2573,,,,,,,,,,,,,,,,,,,,,,,
29,17.4126,,,,,,,,,,,,,,,,,,,,,,,
30,0.5856,,,,,,,,,,,,,,,,,,,,,,,
31,2.4364,,,,,,,,,,,,,,,,,,,,,,,
32,17.6535,,,,,,,,,,,,,,,,,,,,,,,
33,153.6081,,,,,,,,,,,,,,,,,,,,,,,
34,196.1526,,,,,,,,,,,,,,,,,,,,,,,
35,201.9834,,,,,,,,,,,,,,,,,,,,,,,
36,170.0752,,,,,,,,,,,,,,,,,,,,,,,
37,111.5515,2.5,,,,,,,,,,,,,,,,,,,,,,
38,49.3925,1.5,2.5,,,,,,,,,,,,,,,,,,,,,
39,49.3122,-0.2,1.5,2.5,,,,,,,,,,,,,,,,,,,,
40,56.8626,-0.5,-0.2,1.5,2.5,,,,,,,,,,,,,,,,,,,
41,1.7826,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,,,,,,,,,,,,
42,0.0207,0.3,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,,,,,,,,,,,
43,5.0254,-1.7,0.3,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,,,,,,,,,,
44,2.0262,-0.4,-1.7,0.3,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,,,,,,,,,
45,91.9665,-1.8,-0.4,-1.7,0.3,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,,,,,,,,
46,153.10299999999998,-1.6,-1.8,-0.4,-1.7,0.3,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,,,,,,,
47,279.7197,-1.3,-1.6,-1.8,-0.4,-1.7,0.3,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,,,,,,
48,279.7602,-1.2,-1.3,-1.6,-1.8,-0.4,-1.7,0.3,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,,,,,
49,135.3461,-1.5,-1.2,-1.3,-1.6,-1.8,-0.4,-1.7,0.3,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,,,,
50,147.097,-1.0,-1.5,-1.2,-1.3,-1.6,-1.8,-0.4,-1.7,0.3,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,,,
51,35.5575,0.9,-1.0,-1.5,-1.2,-1.3,-1.6,-1.8,-0.4,-1.7,0.3,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,,
52,29.6653,-0.4,0.9,-1.0,-1.5,-1.2,-1.3,-1.6,-1.8,-0.4,-1.7,0.3,-1.1,-0.5,-0.2,1.5,2.5,,,,,,,
