,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,1557.0,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,1343.0,1557.0,,,,,,,,,,,,,,,,,,,,,
3,222.6304,1355.0,1343.0,1557.0,,,,,,,,,,,,,,,,,,,,
4,72.5689,2081.0,1355.0,1343.0,1557.0,,,,,,,,,,,,,,,,,,,
5,38.3427,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,,,,,,,,,,,,
6,3.8564,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,,,,,,,,,,,
7,5.1663,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,,,,,,,,,,
8,16.2825,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,,,,,,,,,
9,27.0548,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,,,,,,,,
10,63.5028,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,,,,,,,
11,141.8453,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,,,,,,
12,40.4654,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,,,,,
13,99.7112,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,,,,
14,209.4276,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,,,
15,8.9746,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,,
16,57.5473,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,,
17,3.2733,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,,
18,0.8287,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,,
19,5.0049,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,,
20,3.7388,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,,
21,6.1449,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,,
22,63.985,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0,
23,54.7504,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0,1557.0
24,234.9162,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0,1343.0
25,125.7046,1507.0,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0,1355.0
26,116.1445,1433.0,1507.0,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0,2081.0
27,58.7856,1378.0,1433.0,1507.0,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0,2265.0
28,36.2573,1643.0,1378.0,1433.0,1507.0,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0,1955.0
29,17.4126,1571.0,1643.0,1378.0,1433.0,1507.0,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0,1828.0
30,0.5856,1287.0,1571.0,1643.0,1378.0,1433.0,1507.0,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0,1728.0
31,2.4364,1341.0,1287.0,1571.0,1643.0,1378.0,1433.0,1507.0,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0,1637.0
32,17.6535,1209.0,1341.0,1287.0,1571.0,1643.0,1378.0,1433.0,1507.0,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0,1591.0
33,153.6081,986.0,1209.0,1341.0,1287.0,1571.0,1643.0,1378.0,1433.0,1507.0,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0,1654.0
34,196.1526,999.0,986.0,1209.0,1341.0,1287.0,1571.0,1643.0,1378.0,1433.0,1507.0,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0,1933.0
35,201.9834,1019.0,999.0,986.0,1209.0,1341.0,1287.0,1571.0,1643.0,1378.0,1433.0,1507.0,1652.0,1804.0,1782.0,1725.0,1752.0,1599.0,1575.0,1549.0,1825.0,2039.0,2202.0,1835.0
