,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,0.38,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,1.6,0.38,,,,,,,,,,,,,,,,,,,,,
3,222.6304,1.12,1.6,0.38,,,,,,,,,,,,,,,,,,,,
4,72.5689,0.26,1.12,1.6,0.38,,,,,,,,,,,,,,,,,,,
5,38.3427,0.86,0.26,1.12,1.6,0.38,,,,,,,,,,,,,,,,,,
6,3.8564,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,,,,,,,,,,,,
7,5.1663,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,,,,,,,,,,,
8,16.2825,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,,,,,,,,,,
9,27.0548,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,,,,,,,,,
10,63.5028,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,,,,,,,,
11,141.8453,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,,,,,,,
12,40.4654,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,,,,,,
13,99.7112,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,,,,,
14,209.4276,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,,,,
15,8.9746,0.63,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,,,
16,57.5473,0.89,0.63,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,,
17,3.2733,0.83,0.89,0.63,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,,
18,0.8287,1.57,0.83,0.89,0.63,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,,
19,5.0049,2.49,1.57,0.83,0.89,0.63,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,,
20,3.7388,1.35,2.49,1.57,0.83,0.89,0.63,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,,
21,6.1449,1.52,1.35,2.49,1.57,0.83,0.89,0.63,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,,
22,63.985,0.79,1.52,1.35,2.49,1.57,0.83,0.89,0.63,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38,
23,54.7504,0.25,0.79,1.52,1.35,2.49,1.57,0.83,0.89,0.63,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6,0.38
24,234.9162,0.9,0.25,0.79,1.52,1.35,2.49,1.57,0.83,0.89,0.63,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12,1.6
25,125.7046,0.58,0.9,0.25,0.79,1.52,1.35,2.49,1.57,0.83,0.89,0.63,0.65,2.38,1.19,0.15,1.35,0.67,2.02,1.48,1.17,0.86,0.26,1.12
