,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,0.16,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,-0.01,0.16,,,,,,,,,,,,,,,,,,,,,
3,222.6304,0.25,-0.01,0.16,,,,,,,,,,,,,,,,,,,,
4,72.5689,-0.13,0.25,-0.01,0.16,,,,,,,,,,,,,,,,,,,
5,38.3427,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,,,,,,,,,,,,
6,3.8564,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,,,,,,,,,,,
7,5.1663,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,,,,,,,,,,
8,16.2825,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,,,,,,,,,
9,27.0548,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,,,,,,,,
10,63.5028,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,,,,,,,
11,141.8453,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,,,,,,
12,40.4654,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,,,,,
13,99.7112,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,,,,
14,209.4276,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,,,
15,8.9746,-0.31,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,,
16,57.5473,-0.15,-0.31,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,,
17,3.2733,-0.46,-0.15,-0.31,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,,
18,0.8287,-0.3,-0.46,-0.15,-0.31,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,,
19,5.0049,-0.21,-0.3,-0.46,-0.15,-0.31,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,,
20,3.7388,-0.05,-0.21,-0.3,-0.46,-0.15,-0.31,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,,
21,6.1449,0.02,-0.05,-0.21,-0.3,-0.46,-0.15,-0.31,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,,
22,63.985,0.12,0.02,-0.05,-0.21,-0.3,-0.46,-0.15,-0.31,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16,
23,54.7504,-0.11,0.12,0.02,-0.05,-0.21,-0.3,-0.46,-0.15,-0.31,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01,0.16
24,234.9162,0.06,-0.11,0.12,0.02,-0.05,-0.21,-0.3,-0.46,-0.15,-0.31,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25,-0.01
25,125.7046,-0.14,0.06,-0.11,0.12,0.02,-0.05,-0.21,-0.3,-0.46,-0.15,-0.31,-0.15,-0.24,0.0,0.08,-0.1,-0.22,-0.19,-0.06,0.12,-0.07,-0.13,0.25
