,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,0.45399999999999996,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,0.047,0.45399999999999996,,,,,,,,,,,,,,,,,,,,,
3,222.6304,-0.135,0.047,0.45399999999999996,,,,,,,,,,,,,,,,,,,,
4,72.5689,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,,,,,,,,,,,,
5,38.3427,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,,,,,,,,,,,
6,3.8564,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,,,,,,,,,,
7,5.1663,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,,,,,,,,,
8,16.2825,-0.91,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,,,,,,,,
9,27.0548,-0.415,-0.91,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,,,,,,,
10,63.5028,-0.312,-0.415,-0.91,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,,,,,,
11,141.8453,-0.354,-0.312,-0.415,-0.91,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,,,,,
12,40.4654,-0.304,-0.354,-0.312,-0.415,-0.91,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,,,,
13,99.7112,0.018000000000000002,-0.304,-0.354,-0.312,-0.415,-0.91,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,,,
14,209.4276,0.049,0.018000000000000002,-0.304,-0.354,-0.312,-0.415,-0.91,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,,
15,8.9746,0.251,0.049,0.018000000000000002,-0.304,-0.354,-0.312,-0.415,-0.91,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,,
16,57.5473,0.556,0.251,0.049,0.018000000000000002,-0.304,-0.354,-0.312,-0.415,-0.91,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,,
17,3.2733,0.44,0.556,0.251,0.049,0.018000000000000002,-0.304,-0.354,-0.312,-0.415,-0.91,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,,
18,0.8287,-0.13,0.44,0.556,0.251,0.049,0.018000000000000002,-0.304,-0.354,-0.312,-0.415,-0.91,-1.109,-1.004,-0.95,-0.469,-0.135,0.047,0.45399999999999996,,,,,
