,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,-0.22,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,-0.12,-0.22,,,,,,,,,,,,,,,,,,,,,
3,222.6304,0.04,-0.12,-0.22,,,,,,,,,,,,,,,,,,,,
4,72.5689,-0.21,0.04,-0.12,-0.22,,,,,,,,,,,,,,,,,,,
5,38.3427,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,,,,,,,,,,,,
6,3.8564,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,,,,,,,,,,,
7,5.1663,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,,,,,,,,,,
8,16.2825,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,,,,,,,,,
9,27.0548,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,,,,,,,,
10,63.5028,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,,,,,,,
11,141.8453,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,,,,,,
12,40.4654,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,,,,,
13,99.7112,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,,,,
14,209.4276,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,,,
15,8.9746,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,,
16,57.5473,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,,
17,3.2733,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,,
18,0.8287,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,,
19,5.0049,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,,
20,3.7388,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,,
21,6.1449,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,,
22,63.985,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22,
23,54.7504,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12,-0.22
24,234.9162,-0.16,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04,-0.12
25,125.7046,0.08,-0.16,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21,0.04
26,116.1445,0.15,0.08,-0.16,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4,-0.21
27,58.7856,0.12,0.15,0.08,-0.16,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64,-0.4
28,36.2573,-0.17,0.12,0.15,0.08,-0.16,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4,-0.64
29,17.4126,-0.34,-0.17,0.12,0.15,0.08,-0.16,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53,-0.4
30,0.5856,-0.23,-0.34,-0.17,0.12,0.15,0.08,-0.16,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41,-0.53
31,2.4364,-0.16,-0.23,-0.34,-0.17,0.12,0.15,0.08,-0.16,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42,-0.41
32,17.6535,-0.34,-0.16,-0.23,-0.34,-0.17,0.12,0.15,0.08,-0.16,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35,-0.42
33,153.6081,-0.51,-0.34,-0.16,-0.23,-0.34,-0.17,0.12,0.15,0.08,-0.16,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21,-0.35
34,196.1526,-0.54,-0.51,-0.34,-0.16,-0.23,-0.34,-0.17,0.12,0.15,0.08,-0.16,0.02,0.04,0.23,0.21,0.16,0.05,0.08,0.22,-0.01,0.01,-0.19,-0.21
