,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,-0.17,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,-0.18,-0.17,,,,,,,,,,,,,,,,,,,,,
3,222.6304,0.26,-0.18,-0.17,,,,,,,,,,,,,,,,,,,,
4,72.5689,-0.03,0.26,-0.18,-0.17,,,,,,,,,,,,,,,,,,,
5,38.3427,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,,,,,,,,,,,,
6,3.8564,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,,,,,,,,,,,
7,5.1663,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,,,,,,,,,,
8,16.2825,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,,,,,,,,,
9,27.0548,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,,,,,,,,
10,63.5028,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,,,,,,,
11,141.8453,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,,,,,,
12,40.4654,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,,,,,
13,99.7112,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,,,,
14,209.4276,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,,,
15,8.9746,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,,
16,57.5473,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,,
17,3.2733,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,,
18,0.8287,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,,
19,5.0049,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,,
20,3.7388,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,,
21,6.1449,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,,
22,63.985,-1.77,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17,
23,54.7504,-1.03,-1.77,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18,-0.17
24,234.9162,-0.32,-1.03,-1.77,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26,-0.18
25,125.7046,-0.17,-0.32,-1.03,-1.77,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03,0.26
26,116.1445,-0.3,-0.17,-0.32,-1.03,-1.77,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46,-0.03
27,58.7856,-0.96,-0.3,-0.17,-0.32,-1.03,-1.77,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2,-0.46
28,36.2573,-1.93,-0.96,-0.3,-0.17,-0.32,-1.03,-1.77,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6,-0.2
29,17.4126,-2.27,-1.93,-0.96,-0.3,-0.17,-0.32,-1.03,-1.77,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42,-1.6
30,0.5856,-2.23,-2.27,-1.93,-0.96,-0.3,-0.17,-0.32,-1.03,-1.77,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81,-2.42
31,2.4364,-2.12,-2.23,-2.27,-1.93,-0.96,-0.3,-0.17,-0.32,-1.03,-1.77,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02,-1.81
32,17.6535,-2.62,-2.12,-2.23,-2.27,-1.93,-0.96,-0.3,-0.17,-0.32,-1.03,-1.77,-0.81,-2.09,-1.04,-0.6,-0.66,0.53,-0.29,-0.13,-0.13,-0.28,-1.78,-2.02
